,price_frequency,discount_frequency,selling_proposition_frequency,goods-title-link_frequency,price_frequency_x_discount_frequency,price_frequency_div_discount_frequency,price_frequency_x_selling_proposition_frequency,price_frequency_div_selling_proposition_frequency,price_frequency_x_goods-title-link_frequency,price_frequency_div_goods-title-link_frequency,discount_frequency_x_selling_proposition_frequency,discount_frequency_div_selling_proposition_frequency,discount_frequency_x_goods-title-link_frequency,discount_frequency_div_goods-title-link_frequency,selling_proposition_frequency_x_goods-title-link_frequency,selling_proposition_frequency_div_goods-title-link_frequency
price_frequency,1.0,0.1046762465019406,-0.11076637399915426,0.15600712722595525,0.5370046308785191,0.26891180523567193,0.6671067957098245,0.15491513506296514,0.6969022258418934,0.8996426943711375,-0.05604616063238879,0.09189765918634887,0.1428331304000121,0.07590612316880446,0.03822130604423897,-0.1848249611402422
discount_frequency,0.1046762465019406,1.0,-0.09340205368798288,-0.1151911246818095,0.6893911098364988,-0.21076165200882507,-0.052738251764444154,0.0821860089451006,-0.0013606791338039827,0.17109085722070919,0.6919231200280409,0.15365127363698483,0.7301442320126325,0.9671799058046765,-0.1975398105532237,0.0012772740547093184
selling_proposition_frequency,-0.11076637399915426,-0.09340205368798288,1.0,-0.004501980809165715,-0.2037935873369793,0.06575634726251836,0.48081965783140884,-0.20085438327307922,-0.05982563506940054,-0.1414195331702573,0.4331070995759417,-0.1906349931989015,-0.14586238205778768,-0.06571623143886905,0.6763463368968698,0.9066296832810146
goods-title-link_frequency,0.15600712722595525,-0.1151911246818095,-0.004501980809165715,1.0,-0.004312193569654071,0.05049582551134002,0.11974639910556929,0.18454070841908082,0.6928219577363705,-0.14503163865941646,-0.15348227965527203,0.17491391655348862,0.34065700812595834,-0.23070150127242384,0.5474516115604082,-0.2641807317728174
price_frequency_x_discount_frequency,0.5370046308785191,0.6893911098364988,-0.2037935873369793,-0.004312193569654071,1.0,-0.1310766785082913,0.1915308269351326,0.16675690559533476,0.2942162906887827,0.576988092782843,0.3281399162528001,0.19439978302926084,0.5842223082357852,0.6382636578418117,-0.20572481967306355,-0.14669154713378235
price_frequency_div_discount_frequency,0.26891180523567193,-0.21076165200882507,0.06575634726251836,0.05049582551134002,-0.1310766785082913,1.0,0.2963211545059377,-0.009067944476651667,0.18696832560445523,0.2328575762596203,-0.1500297912751663,-0.030405752185229167,-0.1538659103818116,-0.20375833261800547,0.09509829434644514,0.02392486014075719
price_frequency_x_selling_proposition_frequency,0.6671067957098245,-0.052738251764444154,0.48081965783140884,0.11974639910556929,0.1915308269351326,0.2963211545059377,1.0,-0.09516079272066844,0.4827566199276236,0.5482859561499848,0.19427908854052545,-0.0923357530754786,-0.07316457295005084,-0.0465647397530531,0.44722636825250894,0.34411642478640786
price_frequency_div_selling_proposition_frequency,0.15491513506296514,0.0821860089451006,-0.20085438327307922,0.18454070841908082,0.16675690559533476,-0.009067944476651667,-0.09516079272066844,1.0,0.24845627626575092,0.09805996033106154,-0.08747029424550624,0.7734753241084086,0.2944707221477752,0.020573445580465283,-0.13482125742643805,-0.1828044042289289
price_frequency_x_goods-title-link_frequency,0.6969022258418934,-0.0013606791338039827,-0.05982563506940054,0.6928219577363705,0.2942162906887827,0.18696832560445523,0.4827566199276236,0.24845627626575092,1.0,0.38051869416790723,-0.12845722635811116,0.2110233815468993,0.400847868696587,-0.1038903571128865,0.3078701058780665,-0.24436243674947264
price_frequency_div_goods-title-link_frequency,0.8996426943711375,0.17109085722070919,-0.1414195331702573,-0.14503163865941646,0.576988092782843,0.2328575762596203,0.5482859561499848,0.09805996033106154,0.38051869416790723,1.0,0.009220360907783503,0.03843872049666784,0.06133397100358261,0.2006500007723253,-0.16072157482832092,-0.09228447346785368
discount_frequency_x_selling_proposition_frequency,-0.05604616063238879,0.6919231200280409,0.4331070995759417,-0.15348227965527203,0.3281399162528001,-0.1500297912751663,0.19427908854052545,-0.08747029424550624,-0.12845722635811116,0.009220360907783503,1.0,-0.08047585081129768,0.4154652538553093,0.6989018744477263,0.14073653658818286,0.4900133068982274
discount_frequency_div_selling_proposition_frequency,0.09189765918634887,0.15365127363698483,-0.1906349931989015,0.17491391655348862,0.19439978302926084,-0.030405752185229167,-0.0923357530754786,0.7734753241084086,0.2110233815468993,0.03843872049666784,-0.08047585081129768,1.0,0.34119270858601675,0.08722719270676281,-0.12803659826393435,-0.17308719272240644
discount_frequency_x_goods-title-link_frequency,0.1428331304000121,0.7301442320126325,-0.14586238205778768,0.34065700812595834,0.5842223082357852,-0.1538659103818116,-0.07316457295005084,0.2944707221477752,0.400847868696587,0.06133397100358261,0.4154652538553093,0.34119270858601675,1.0,0.5868696598005513,-0.13285376166442725,-0.10680605273139082
