,price_frequency,discount_frequency,selling_proposition_frequency,goods-title-link_frequency,price_frequency_x_discount_frequency,price_frequency_div_discount_frequency,price_frequency_x_selling_proposition_frequency,price_frequency_div_selling_proposition_frequency,price_frequency_x_goods-title-link_frequency,price_frequency_div_goods-title-link_frequency,discount_frequency_x_selling_proposition_frequency,discount_frequency_div_selling_proposition_frequency,discount_frequency_x_goods-title-link_frequency,discount_frequency_div_goods-title-link_frequency,selling_proposition_frequency_x_goods-title-link_frequency,selling_proposition_frequency_div_goods-title-link_frequency
price_frequency,1.0,0.4599273361660638,-0.14037780107766207,0.022461185186428773,0.9653188563339646,0.060867551900158565,0.48574413042347875,0.26203236140849867,0.5463626255346593,0.9491202318679691,0.10338003824866086,0.1801413153780096,0.24855378998393166,0.4066833270569276,-0.02540275318453941,-0.14787785169580941
discount_frequency,0.4599273361660638,1.0,-0.13616391295802,-0.030987825953732045,0.5428855837984214,-0.22958932706090165,0.20472537210488684,0.11641457659994356,0.25382752934063463,0.4378190399318633,0.42494640059514066,0.17341286717480175,0.4279969533907015,0.9267284370429623,-0.07656368318127148,-0.11335069781003997
selling_proposition_frequency,-0.14037780107766207,-0.13616391295802,1.0,0.0686690407385599,-0.15385663939957608,0.013496599539374878,0.46394897508360494,-0.15445087668089366,-0.005367575845963478,-0.16726411161938942,0.6662617025102097,-0.21036236735027375,-0.003840550343427899,-0.15802389014045806,0.4939011463051937,0.9248690873451129
goods-title-link_frequency,0.022461185186428773,-0.030987825953732045,0.0686690407385599,1.0,0.021837285072099366,-0.017455010687661563,0.08545916991691134,-0.0015336329351685633,0.5787567659639322,-0.1258036595322221,0.03439967731167526,0.010438232869566933,0.6663270632580787,-0.22420418227856898,0.6754236490853307,-0.12487870874662826
price_frequency_x_discount_frequency,0.9653188563339646,0.5428855837984214,-0.15385663939957608,0.021837285072099366,1.0,-0.10231213934049953,0.4402193632675376,0.26343655777607977,0.5345518007186442,0.9149978210238412,0.13904446658880992,0.19346917096885138,0.28349619532503023,0.48384505454472787,-0.0320048488779595,-0.15915178032016727
price_frequency_div_discount_frequency,0.060867551900158565,-0.22958932706090165,0.013496599539374878,-0.017455010687661563,-0.10231213934049953,1.0,0.07316472372031914,-0.007497593621208503,0.00954254427373432,0.0640779173592125,-0.10134540639890284,-0.03693716596661477,-0.0981481022937169,-0.21260384844810692,-0.011804184054365235,0.015508932913289168
price_frequency_x_selling_proposition_frequency,0.48574413042347875,0.20472537210488684,0.46394897508360494,0.08545916991691134,0.4402193632675376,0.07316472372031914,1.0,-0.06829145140321732,0.38737921820305166,0.40498100085854577,0.5927684098679015,-0.09814238806147633,0.20327922234819654,0.13346150516852123,0.29862792274526034,0.4009818341238635
price_frequency_div_selling_proposition_frequency,0.26203236140849867,0.11641457659994356,-0.15445087668089366,-0.0015336329351685633,0.26343655777607977,-0.007497593621208503,-0.06829145140321732,1.0,0.1147653197983018,0.27041913696903697,-0.10302174423898008,0.851603048961378,0.05378594296081805,0.11874073440805326,-0.07457143656972348,-0.1441531498040692
price_frequency_x_goods-title-link_frequency,0.5463626255346593,0.25382752934063463,-0.005367575845963478,0.5787567659639322,0.5345518007186442,0.00954254427373432,0.38737921820305166,0.1147653197983018,1.0,0.3160882510493488,0.13410645574373747,0.08961492941268195,0.8000273303200436,0.02706565242622082,0.42590469430994865,-0.14104834069300004
price_frequency_div_goods-title-link_frequency,0.9491202318679691,0.4378190399318633,-0.16726411161938942,-0.1258036595322221,0.9149978210238412,0.0640779173592125,0.40498100085854577,0.27041913696903697,0.3160882510493488,1.0,0.0629917214453821,0.18779198448673104,0.06354634786127716,0.47967101448362254,-0.14220811842337167,-0.1174730846218772
discount_frequency_x_selling_proposition_frequency,0.10338003824866086,0.42494640059514066,0.6662617025102097,0.03439967731167526,0.13904446658880992,-0.10134540639890284,0.5927684098679015,-0.10302174423898008,0.13410645574373747,0.0629917214453821,1.0,-0.1382392130105084,0.23916211171750515,0.3586041867979775,0.3182622870891533,0.6313341390874713
discount_frequency_div_selling_proposition_frequency,0.1801413153780096,0.17341286717480175,-0.21036236735027375,0.010438232869566933,0.19346917096885138,-0.03693716596661477,-0.09814238806147633,0.851603048961378,0.08961492941268195,0.18779198448673104,-0.1382392130105084,1.0,0.09531087916026094,0.1714737958484175,-0.10191390760201739,-0.1960967653314373
discount_frequency_x_goods-title-link_frequency,0.24855378998393166,0.4279969533907015,-0.003840550343427899,0.6663270632580787,0.28349619532503023,-0.0981481022937169,0.20327922234819654,0.05378594296081805,0.8000273303200436,0.06354634786127716,0.23916211171750515,0.09531087916026094,1.0,0.1605849870002655,0.4059549938885402,-0.1344752195463271
discount_frequency_div_goods-title-link_frequency,0.4066833270569276,0.9267284370429623,-0.15802389014045806,-0.22420418227856898,0.48384505454472787,-0.21260384844810692,0.13346150516852123,0.11874073440805326,0.02706565242622082,0.47967101448362254,0.3586041867979775,0.1714737958484175,0.1605849870002655,1.0,-0.21057497993359053,-0.0605269403878545
selling_proposition_frequency_x_goods-title-link_frequency,-0.02540275318453941,-0.07656368318127148,0.4939011463051937,0.6754236490853307,-0.0320048488779595,-0.011804184054365235,0.29862792274526034,-0.07457143656972348,0.42590469430994865,-0.14220811842337167,0.3182622870891533,-0.10191390760201739,0.4059549938885402,-0.21057497993359053,1.0,0.23661771250181562
selling_proposition_frequency_div_goods-title-link_frequency,-0.14787785169580941,-0.11335069781003997,0.9248690873451129,-0.12487870874662826,-0.15915178032016727,0.015508932913289168,0.4009818341238635,-0.1441531498040692,-0.14104834069300004,-0.1174730846218772,0.6313341390874713,-0.1960967653314373,-0.1344752195463271,-0.0605269403878545,0.23661771250181562,1.0
