,selling_proposition_frequency,price_frequency,discount_frequency,goods-title-link_frequency,selling_proposition_frequency_x_price_frequency,selling_proposition_frequency_div_price_frequency,selling_proposition_frequency_x_discount_frequency,selling_proposition_frequency_div_discount_frequency,selling_proposition_frequency_x_goods-title-link_frequency,selling_proposition_frequency_div_goods-title-link_frequency,price_frequency_x_discount_frequency,price_frequency_div_discount_frequency,price_frequency_x_goods-title-link_frequency,price_frequency_div_goods-title-link_frequency,discount_frequency_x_goods-title-link_frequency,discount_frequency_div_goods-title-link_frequency
selling_proposition_frequency,1.0,-0.04939699835022395,0.005992666552900474,0.022662661432414487,0.5810442914047902,0.46247867203207904,0.741893644990031,0.28345454864224806,0.813661734138125,0.9718324100127623,-0.042196601119257,-0.04706800439108766,-0.027123861934812532,-0.05682743574271217,0.013388389700195794,-0.036922379110242695
price_frequency,-0.04939699835022395,1.0,0.3913213400055936,0.011309065981661485,0.47934382999131614,-0.3171405459739226,0.10867231478472182,-0.1612440580524942,-0.030714052621766106,-0.05431528309582801,0.8744155301944491,0.2885465973109607,0.8575736001905321,0.9721708815915696,0.29014878868307575,0.2932476930354832
discount_frequency,0.005992666552900474,0.3913213400055936,1.0,0.031336035384225594,0.19862524488449299,-0.1649226572883899,0.42149133983330467,-0.2724503478958283,0.011210853467117676,0.003944634056846346,0.6185617137749913,-0.26388966030174593,0.3595614305957137,0.3794946336616562,0.7604949961452696,0.9621261395289519
goods-title-link_frequency,0.022662661432414487,0.011309065981661485,0.031336035384225594,1.0,0.027921841774437874,-0.020451768015486343,0.0252954077281084,-0.021489344246842346,0.4085558681192343,-0.09319679063969825,0.008492306905434828,-0.013193998775446329,0.3523868856390941,-0.10879449828574124,0.5897546673381364,-0.14512813253307505
selling_proposition_frequency_x_price_frequency,0.5810442914047902,0.47934382999131614,0.19862524488449299,0.027921841774437874,1.0,-0.126298736738307,0.6269028180277972,-0.011403364736695867,0.4871330896045204,0.5554703464708872,0.4222664130682507,0.1185087667776117,0.4325650069160865,0.45257528963631866,0.1553948630506873,0.10050836020477853
selling_proposition_frequency_div_price_frequency,0.46247867203207904,-0.3171405459739226,-0.1649226572883899,-0.020451768015486343,-0.126298736738307,1.0,0.1712045356195525,0.2650259209093252,0.3480579421247373,0.4541130693042065,-0.2615080715072531,-0.13189524381133566,-0.27197680516637585,-0.30933414747880705,-0.1311979875475536,-0.13920198088978633
selling_proposition_frequency_x_discount_frequency,0.741893644990031,0.10867231478472182,0.42149133983330467,0.0252954077281084,0.6269028180277972,0.1712045356195525,1.0,-0.05538235434216712,0.6113435703187968,0.7199295234282066,0.2092524318754505,-0.12495313287569665,0.10750409871750027,0.09785751534355554,0.3244839331436596,0.40089721131951417
selling_proposition_frequency_div_discount_frequency,0.28345454864224806,-0.1612440580524942,-0.2724503478958283,-0.021489344246842346,-0.011403364736695867,0.2650259209093252,-0.05538235434216712,1.0,0.20766653633571014,0.28126905699042093,-0.16800436237677827,0.17858016008903915,-0.13662311599369803,-0.15838532938980318,-0.2050431229336655,-0.22707399712443596
selling_proposition_frequency_x_goods-title-link_frequency,0.813661734138125,-0.030714052621766106,0.011210853467117676,0.4085558681192343,0.4871330896045204,0.3480579421247373,0.6113435703187968,0.20766653633571014,1.0,0.6992823609744413,-0.032932473313214736,-0.03762747025633528,0.10884649983594288,-0.08061485478083324,0.21554630571661845,-0.08229504665203181
selling_proposition_frequency_div_goods-title-link_frequency,0.9718324100127623,-0.05431528309582801,0.003944634056846346,-0.09319679063969825,0.5554703464708872,0.4541130693042065,0.7199295234282066,0.28126905699042093,0.6992823609744413,1.0,-0.04573526218375588,-0.04950308748246931,-0.08261487058167649,-0.03545538708577318,-0.0511646307874023,-0.006367174352434839
